Review_ID,Application_ID,Customer_ID,Review_Date,Reviewer,Review_Type,Outcome,Review_Duration_Days,Review_Notes
REV00074,APP00833,C00833,2025-01-25,Maria Heikkinen,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00075,APP00867,C00867,2025-10-06,Sanna Virtanen,Sanctions Screening,Approved,5,Compliance review completed successfully.
REV00076,APP00875,C00875,2025-08-22,Antti Laine,Sanctions Screening,Approved,4,Compliance review completed successfully.
REV00077,APP00877,C00877,2025-05-15,Maria Heikkinen,AML,Approved,5,Compliance review completed successfully.
REV00078,APP00878,C00878,2025-07-05,Laura Nieminen,AML,Approved,11,Compliance review completed successfully.
REV00079,APP00905,C00905,2025-03-04,Mikko Korhonen,KYC,Approved,10,Compliance review completed successfully.
REV00080,APP00920,C00920,2025-12-20,Laura Nieminen,KYC,Further Review,13,Additional documentation or review required.
REV00081,APP00921,C00921,2025-08-30,Laura Nieminen,KYC,Rejected,6,Compliance concerns identified during review.
REV00082,APP00925,C00925,2025-08-09,Janne Koskinen,Sanctions Screening,Approved,9,Compliance review completed successfully.
REV00083,APP00936,C00936,2025-11-30,Janne Koskinen,KYC,Approved,5,Compliance review completed successfully.
REV00084,APP00948,C00948,2026-01-03,Janne Koskinen,AML,Approved,7,Compliance review completed successfully.
REV00085,APP00952,C00952,2025-08-16,Maria Heikkinen,Enhanced Due Diligence,Approved,11,Compliance review completed successfully.
REV00086,APP00964,C00964,2025-04-10,Mikko Korhonen,Sanctions Screening,Approved,4,Compliance review completed successfully.
REV00087,APP00982,C00982,2025-05-08,Sanna Virtanen,AML,Approved,5,Compliance review completed successfully.
REV00088,APP01016,C01016,2025-01-20,Antti Laine,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00089,APP01020,C01020,2025-09-25,Antti Laine,KYC,Approved,12,Compliance review completed successfully.
REV00090,APP01053,C01053,2025-07-30,Maria Heikkinen,Enhanced Due Diligence,Approved,8,Compliance review completed successfully.
REV00091,APP01057,C01057,2025-10-16,Sanna Virtanen,AML,Further Review,10,Additional documentation or review required.
REV00092,APP01090,C01090,2025-02-03,Sanna Virtanen,Sanctions Screening,Rejected,3,Compliance concerns identified during review.
REV00093,APP01100,C01100,2025-04-18,Maria Heikkinen,KYC,Approved,4,Compliance review completed successfully.
REV00094,APP01108,C01108,2025-07-11,Mikko Korhonen,KYC,Approved,7,Compliance review completed successfully.
REV00095,APP01113,C01113,2025-07-02,Antti Laine,Sanctions Screening,Rejected,2,Compliance concerns identified during review.
REV00096,APP01136,C01136,2025-08-30,Sanna Virtanen,AML,Further Review,3,Additional documentation or review required.
REV00097,APP01138,C01138,2025-01-18,Maria Heikkinen,KYC,Approved,14,Compliance review completed successfully.
REV00098,APP01139,C01139,2025-05-23,Laura Nieminen,Enhanced Due Diligence,Approved,5,Compliance review completed successfully.
REV00099,APP01165,C01165,2025-09-12,Antti Laine,AML,Rejected,9,Compliance concerns identified during review.
REV00100,APP01186,C01186,2025-11-30,Mikko Korhonen,Sanctions Screening,Approved,4,Compliance review completed successfully.
REV00101,APP01192,C01192,2025-03-14,Antti Laine,Sanctions Screening,Approved,9,Compliance review completed successfully.
REV00102,APP01197,C01197,2025-08-28,Mikko Korhonen,KYC,Approved,9,Compliance review completed successfully.
REV00103,APP01203,C01203,2025-04-14,Laura Nieminen,Sanctions Screening,Approved,10,Compliance review completed successfully.
REV00104,APP01206,C01206,2025-05-23,Janne Koskinen,Enhanced Due Diligence,Further Review,5,Additional documentation or review required.
REV00105,APP01215,C01215,2025-06-17,Laura Nieminen,KYC,Rejected,10,Compliance concerns identified during review.
REV00106,APP01219,C01219,2025-06-01,Antti Laine,AML,Approved,14,Compliance review completed successfully.
REV00107,APP01233,C01233,2025-07-09,Maria Heikkinen,Enhanced Due Diligence,Further Review,4,Additional documentation or review required.
REV00108,APP01242,C01242,2025-08-07,Antti Laine,AML,Approved,3,Compliance review completed successfully.
REV00109,APP01250,C01250,2025-06-17,Antti Laine,KYC,Approved,9,Compliance review completed successfully.
REV00110,APP01256,C01256,2025-03-28,Mikko Korhonen,AML,Approved,8,Compliance review completed successfully.
REV00111,APP01278,C01278,2025-12-13,Sanna Virtanen,Sanctions Screening,Approved,8,Compliance review completed successfully.
REV00112,APP01286,C01286,2025-10-29,Antti Laine,Sanctions Screening,Further Review,8,Additional documentation or review required.
REV00113,APP01308,C01308,2025-12-20,Antti Laine,Enhanced Due Diligence,Approved,6,Compliance review completed successfully.
REV00114,APP01313,C01313,2025-01-10,Mikko Korhonen,AML,Rejected,7,Compliance concerns identified during review.
REV00115,APP01317,C01317,2025-01-10,Janne Koskinen,AML,Approved,14,Compliance review completed successfully.
REV00116,APP01326,C01326,2025-04-21,Laura Nieminen,Enhanced Due Diligence,Further Review,6,Additional documentation or review required.
REV00117,APP01328,C01328,2025-09-24,Antti Laine,Sanctions Screening,Approved,3,Compliance review completed successfully.
REV00118,APP01332,C01332,2025-06-15,Laura Nieminen,AML,Approved,7,Compliance review completed successfully.
REV00119,APP01348,C01348,2025-02-27,Mikko Korhonen,Sanctions Screening,Approved,7,Compliance review completed successfully.
REV00120,APP01350,C01350,2025-09-16,Mikko Korhonen,Enhanced Due Diligence,Approved,4,Compliance review completed successfully.
REV00121,APP01360,C01360,2025-04-27,Sanna Virtanen,AML,Approved,6,Compliance review completed successfully.
REV00122,APP01364,C01364,2025-05-04,Janne Koskinen,AML,Approved,9,Compliance review completed successfully.
REV00123,APP01378,C01378,2025-12-03,Maria Heikkinen,Sanctions Screening,Approved,3,Compliance review completed successfully.
REV00124,APP01399,C01399,2025-02-03,Mikko Korhonen,AML,Further Review,3,Additional documentation or review required.
REV00125,APP01406,C01406,2025-04-13,Mikko Korhonen,Sanctions Screening,Approved,6,Compliance review completed successfully.
REV00126,APP01411,C01411,2025-04-28,Maria Heikkinen,Enhanced Due Diligence,Approved,6,Compliance review completed successfully.
REV00127,APP01418,C01418,2025-04-06,Maria Heikkinen,Sanctions Screening,Approved,5,Compliance review completed successfully.
REV00128,APP01426,C01426,2025-06-30,Janne Koskinen,Sanctions Screening,Approved,8,Compliance review completed successfully.
REV00129,APP01448,C01448,2025-10-09,Antti Laine,Sanctions Screening,Approved,6,Compliance review completed successfully.
REV00130,APP01467,C01467,2025-06-04,Laura Nieminen,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00131,APP01473,C01473,2025-08-20,Laura Nieminen,AML,Approved,3,Compliance review completed successfully.
REV00132,APP01477,C01477,2025-08-11,Janne Koskinen,Sanctions Screening,Further Review,7,Additional documentation or review required.
REV00133,APP01479,C01479,2025-08-26,Laura Nieminen,KYC,Approved,6,Compliance review completed successfully.
REV00134,APP01500,C01500,2025-08-21,Sanna Virtanen,KYC,Approved,8,Compliance review completed successfully.
REV00135,APP01503,C01503,2025-05-26,Antti Laine,KYC,Approved,5,Compliance review completed successfully.
REV00136,APP01520,C01520,2025-10-24,Laura Nieminen,Sanctions Screening,Approved,10,Compliance review completed successfully.
REV00137,APP01536,C01536,2025-05-06,Maria Heikkinen,Enhanced Due Diligence,Further Review,15,Additional documentation or review required.
REV00138,APP01537,C01537,2025-09-20,Maria Heikkinen,KYC,Approved,10,Compliance review completed successfully.
REV00139,APP01555,C01555,2025-02-17,Maria Heikkinen,AML,Approved,3,Compliance review completed successfully.
REV00140,APP01556,C01556,2025-02-10,Mikko Korhonen,AML,Approved,4,Compliance review completed successfully.
REV00141,APP01569,C01569,2025-09-11,Sanna Virtanen,Sanctions Screening,Approved,5,Compliance review completed successfully.
REV00142,APP01593,C01593,2025-11-10,Sanna Virtanen,Sanctions Screening,Approved,4,Compliance review completed successfully.
REV00143,APP01673,C01673,2025-12-22,Antti Laine,KYC,Further Review,3,Additional documentation or review required.
REV00144,APP01680,C01680,2025-04-03,Antti Laine,Sanctions Screening,Approved,3,Compliance review completed successfully.
REV00145,APP01682,C01682,2025-03-26,Sanna Virtanen,Sanctions Screening,Rejected,6,Compliance concerns identified during review.
REV00146,APP01684,C01684,2025-07-21,Laura Nieminen,Enhanced Due Diligence,Approved,7,Compliance review completed successfully.
REV00147,APP01687,C01687,2025-06-16,Sanna Virtanen,Enhanced Due Diligence,Further Review,8,Additional documentation or review required.
REV00148,APP01690,C01690,2025-04-22,Antti Laine,KYC,Approved,2,Compliance review completed successfully.
REV00149,APP01691,C01691,2025-07-09,Antti Laine,KYC,Approved,4,Compliance review completed successfully.
REV00150,APP01692,C01692,2025-02-04,Mikko Korhonen,Sanctions Screening,Approved,5,Compliance review completed successfully.
REV00151,APP01704,C01704,2025-07-18,Sanna Virtanen,Sanctions Screening,Rejected,7,Compliance concerns identified during review.
REV00152,APP01719,C01719,2025-09-02,Maria Heikkinen,AML,Approved,6,Compliance review completed successfully.
REV00153,APP01747,C01747,2025-09-08,Maria Heikkinen,KYC,Rejected,9,Compliance concerns identified during review.
REV00154,APP01750,C01750,2025-03-28,Laura Nieminen,KYC,Further Review,9,Additional documentation or review required.
REV00155,APP01751,C01751,2025-09-15,Sanna Virtanen,AML,Further Review,6,Additional documentation or review required.
REV00156,APP01756,C01756,2025-08-31,Janne Koskinen,KYC,Approved,9,Compliance review completed successfully.
REV00157,APP01763,C01763,2025-06-10,Janne Koskinen,Sanctions Screening,Approved,7,Compliance review completed successfully.
REV00158,APP01764,C01764,2025-05-24,Maria Heikkinen,KYC,Approved,3,Compliance review completed successfully.
REV00159,APP01789,C01789,2025-01-27,Laura Nieminen,KYC,Further Review,15,Additional documentation or review required.
REV00160,APP01805,C01805,2025-06-20,Janne Koskinen,AML,Approved,11,Compliance review completed successfully.
REV00161,APP01812,C01812,2025-01-26,Laura Nieminen,Enhanced Due Diligence,Approved,8,Compliance review completed successfully.
REV00162,APP01815,C01815,2025-12-27,Sanna Virtanen,Enhanced Due Diligence,Approved,11,Compliance review completed successfully.
REV00163,APP01849,C01849,2025-04-02,Laura Nieminen,KYC,Approved,6,Compliance review completed successfully.
REV00164,APP01863,C01863,2025-07-14,Maria Heikkinen,KYC,Approved,6,Compliance review completed successfully.
REV00165,APP01881,C01881,2025-03-08,Maria Heikkinen,Sanctions Screening,Further Review,10,Additional documentation or review required.
REV00166,APP01892,C01892,2025-05-16,Maria Heikkinen,Sanctions Screening,Approved,10,Compliance review completed successfully.
REV00167,APP01900,C01900,2025-06-15,Mikko Korhonen,Enhanced Due Diligence,Approved,6,Compliance review completed successfully.
REV00168,APP01902,C01902,2025-01-14,Laura Nieminen,KYC,Approved,10,Compliance review completed successfully.
REV00169,APP01915,C01915,2025-12-18,Mikko Korhonen,KYC,Further Review,13,Additional documentation or review required.
REV00170,APP01920,C01920,2025-10-30,Maria Heikkinen,Enhanced Due Diligence,Approved,7,Compliance review completed successfully.
REV00171,APP01936,C01936,2025-06-27,Janne Koskinen,KYC,Approved,7,Compliance review completed successfully.
REV00172,APP01950,C01950,2025-07-10,Laura Nieminen,Sanctions Screening,Rejected,9,Compliance concerns identified during review.
REV00173,APP01954,C01954,2025-05-15,Maria Heikkinen,AML,Rejected,4,Compliance concerns identified during review.
REV00174,APP01967,C01967,2025-10-22,Sanna Virtanen,KYC,Approved,2,Compliance review completed successfully.
REV00175,APP01969,C01969,2025-09-14,Janne Koskinen,Sanctions Screening,Approved,11,Compliance review completed successfully.
REV00176,APP01989,C01989,2025-08-30,Laura Nieminen,KYC,Approved,4,Compliance review completed successfully.
REV00177,APP01995,C01995,2025-05-05,Sanna Virtanen,Enhanced Due Diligence,Further Review,6,Additional documentation or review required.
REV00178,APP02033,C02033,2025-02-20,Janne Koskinen,KYC,Approved,6,Compliance review completed successfully.
REV00179,APP02060,C02060,2025-06-06,Laura Nieminen,KYC,Approved,7,Compliance review completed successfully.
REV00180,APP02077,C02077,2025-07-08,Sanna Virtanen,KYC,Rejected,10,Compliance concerns identified during review.
REV00181,APP02080,C02080,2025-08-08,Maria Heikkinen,AML,Rejected,10,Compliance concerns identified during review.
REV00182,APP02088,C02088,2025-07-06,Laura Nieminen,KYC,Rejected,4,Compliance concerns identified during review.
REV00183,APP02091,C02091,2025-09-27,Janne Koskinen,Enhanced Due Diligence,Rejected,7,Compliance concerns identified during review.
REV00184,APP02124,C02124,2025-02-23,Antti Laine,KYC,Approved,3,Compliance review completed successfully.
REV00185,APP02140,C02140,2025-11-29,Mikko Korhonen,KYC,Approved,5,Compliance review completed successfully.
REV00186,APP02145,C02145,2025-05-20,Antti Laine,Sanctions Screening,Approved,4,Compliance review completed successfully.
REV00187,APP02166,C02166,2025-03-01,Sanna Virtanen,AML,Approved,8,Compliance review completed successfully.
REV00188,APP02191,C02191,2025-03-05,Janne Koskinen,KYC,Further Review,9,Additional documentation or review required.
REV00189,APP02204,C02204,2025-12-04,Mikko Korhonen,Sanctions Screening,Further Review,9,Additional documentation or review required.
REV00190,APP02219,C02219,2025-12-24,Laura Nieminen,AML,Rejected,11,Compliance concerns identified during review.
REV00191,APP02223,C02223,2025-10-24,Sanna Virtanen,AML,Further Review,7,Additional documentation or review required.
REV00192,APP02241,C02241,2025-09-09,Laura Nieminen,KYC,Further Review,5,Additional documentation or review required.
REV00193,APP02248,C02248,2025-07-12,Janne Koskinen,KYC,Approved,11,Compliance review completed successfully.
REV00194,APP02267,C02267,2025-10-20,Antti Laine,AML,Approved,4,Compliance review completed successfully.
REV00195,APP02278,C02278,2025-04-05,Janne Koskinen,AML,Approved,3,Compliance review completed successfully.
REV00196,APP02293,C02293,2025-09-12,Janne Koskinen,Enhanced Due Diligence,Approved,8,Compliance review completed successfully.
REV00197,APP02295,C02295,2025-12-17,Laura Nieminen,KYC,Approved,7,Compliance review completed successfully.
REV00198,APP02301,C02301,2025-12-08,Mikko Korhonen,Sanctions Screening,Further Review,3,Additional documentation or review required.
REV00199,APP02312,C02312,2025-11-06,Janne Koskinen,Enhanced Due Diligence,Approved,2,Compliance review completed successfully.
REV00200,APP02325,C02325,2025-04-06,Maria Heikkinen,Enhanced Due Diligence,Approved,3,Compliance review completed successfully.
REV00201,APP02330,C02330,2025-07-30,Sanna Virtanen,KYC,Approved,7,Compliance review completed successfully.
REV00202,APP02365,C02365,2025-10-11,Laura Nieminen,AML,Approved,3,Compliance review completed successfully.
REV00203,APP02377,C02377,2025-03-04,Antti Laine,AML,Approved,4,Compliance review completed successfully.
REV00204,APP02380,C02380,2025-11-02,Antti Laine,KYC,Rejected,9,Compliance concerns identified during review.
REV00205,APP02394,C02394,2025-04-25,Laura Nieminen,Sanctions Screening,Further Review,10,Additional documentation or review required.
REV00206,APP02395,C02395,2025-02-03,Janne Koskinen,AML,Approved,4,Compliance review completed successfully.
REV00207,APP02397,C02397,2025-06-18,Laura Nieminen,Enhanced Due Diligence,Further Review,8,Additional documentation or review required.
REV00208,APP02403,C02403,2025-11-03,Sanna Virtanen,KYC,Approved,9,Compliance review completed successfully.
REV00209,APP02418,C02418,2025-08-12,Sanna Virtanen,KYC,Approved,4,Compliance review completed successfully.
REV00210,APP02432,C02432,2025-02-15,Maria Heikkinen,AML,Further Review,7,Additional documentation or review required.
REV00211,APP02433,C02433,2025-12-23,Janne Koskinen,Enhanced Due Diligence,Approved,14,Compliance review completed successfully.
REV00212,APP02463,C02463,2025-01-26,Mikko Korhonen,KYC,Further Review,7,Additional documentation or review required.
REV00213,APP02477,C02477,2025-08-19,Antti Laine,Sanctions Screening,Approved,11,Compliance review completed successfully.
REV00214,APP02479,C02479,2025-03-31,Janne Koskinen,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00215,APP02498,C02498,2025-04-01,Janne Koskinen,AML,Approved,10,Compliance review completed successfully.
REV00216,APP02502,C02502,2025-06-27,Mikko Korhonen,KYC,Rejected,8,Compliance concerns identified during review.
REV00217,APP02522,C02522,2025-09-12,Antti Laine,KYC,Approved,8,Compliance review completed successfully.
REV00218,APP02535,C02535,2025-10-12,Laura Nieminen,Sanctions Screening,Further Review,7,Additional documentation or review required.
REV00219,APP02538,C02538,2025-08-03,Laura Nieminen,KYC,Approved,4,Compliance review completed successfully.
REV00220,APP02544,C02544,2025-04-23,Antti Laine,AML,Approved,9,Compliance review completed successfully.
REV00221,APP02553,C02553,2025-08-28,Mikko Korhonen,AML,Approved,10,Compliance review completed successfully.
REV00222,APP02560,C02560,2025-08-28,Janne Koskinen,KYC,Approved,8,Compliance review completed successfully.
REV00223,APP02564,C02564,2025-10-09,Mikko Korhonen,Enhanced Due Diligence,Rejected,5,Compliance concerns identified during review.
REV00224,APP02568,C02568,2025-10-29,Janne Koskinen,KYC,Approved,2,Compliance review completed successfully.
REV00225,APP02570,C02570,2025-05-21,Antti Laine,AML,Approved,7,Compliance review completed successfully.
REV00226,APP02572,C02572,2025-04-22,Janne Koskinen,Sanctions Screening,Further Review,12,Additional documentation or review required.
REV00227,APP02576,C02576,2025-05-02,Antti Laine,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00228,APP02595,C02595,2025-03-28,Laura Nieminen,KYC,Approved,10,Compliance review completed successfully.
REV00229,APP02608,C02608,2025-05-17,Janne Koskinen,AML,Approved,7,Compliance review completed successfully.
REV00230,APP02616,C02616,2025-06-04,Antti Laine,KYC,Further Review,12,Additional documentation or review required.
REV00231,APP02622,C02622,2025-10-27,Mikko Korhonen,Enhanced Due Diligence,Rejected,3,Compliance concerns identified during review.
REV00232,APP02623,C02623,2025-12-01,Laura Nieminen,Sanctions Screening,Approved,7,Compliance review completed successfully.
REV00233,APP02629,C02629,2025-08-21,Janne Koskinen,Sanctions Screening,Further Review,10,Additional documentation or review required.
REV00234,APP02636,C02636,2025-01-27,Laura Nieminen,KYC,Further Review,5,Additional documentation or review required.
REV00235,APP02652,C02652,2025-08-15,Antti Laine,Sanctions Screening,Further Review,5,Additional documentation or review required.
REV00236,APP02660,C02660,2025-11-27,Mikko Korhonen,Sanctions Screening,Rejected,8,Compliance concerns identified during review.
REV00237,APP02665,C02665,2025-12-21,Mikko Korhonen,KYC,Approved,5,Compliance review completed successfully.
REV00238,APP02666,C02666,2025-05-08,Laura Nieminen,Sanctions Screening,Approved,6,Compliance review completed successfully.
REV00239,APP02667,C02667,2025-05-07,Laura Nieminen,AML,Further Review,9,Additional documentation or review required.
REV00240,APP02679,C02679,2025-12-04,Janne Koskinen,AML,Rejected,7,Compliance concerns identified during review.
REV00241,APP02680,C02680,2025-08-21,Maria Heikkinen,AML,Approved,10,Compliance review completed successfully.
REV00242,APP02683,C02683,2025-05-04,Maria Heikkinen,Sanctions Screening,Further Review,8,Additional documentation or review required.
REV00243,APP02685,C02685,2025-07-14,Laura Nieminen,KYC,Approved,5,Compliance review completed successfully.
REV00244,APP02731,C02731,2025-04-02,Mikko Korhonen,KYC,Further Review,2,Additional documentation or review required.
REV00245,APP02755,C02755,2025-06-10,Laura Nieminen,AML,Rejected,8,Compliance concerns identified during review.
REV00246,APP02762,C02762,2025-04-21,Antti Laine,KYC,Approved,9,Compliance review completed successfully.
REV00247,APP02763,C02763,2025-07-01,Antti Laine,Sanctions Screening,Approved,7,Compliance review completed successfully.
REV00248,APP02793,C02793,2025-04-16,Maria Heikkinen,Enhanced Due Diligence,Further Review,7,Additional documentation or review required.
REV00249,APP02796,C02796,2025-06-03,Maria Heikkinen,Sanctions Screening,Approved,10,Compliance review completed successfully.
REV00250,APP02804,C02804,2025-05-26,Antti Laine,Enhanced Due Diligence,Approved,10,Compliance review completed successfully.
REV00251,APP02809,C02809,2025-07-03,Maria Heikkinen,Enhanced Due Diligence,Approved,8,Compliance review completed successfully.
REV00252,APP02833,C02833,2025-12-23,Janne Koskinen,KYC,Approved,12,Compliance review completed successfully.
