Application_ID,Customer_ID,Application_Date,Branch_ID,RM_ID,Account_Type,Customer_Type,Risk_Level,KYC_Status,Approval_Status,Processing_Days,Escalation,Escalation_Reason
APP00022,C00022,2025-03-20,B001,RM001,Business,Business,High,Completed,Approved,10,No,
APP00023,C00023,2025-07-11,B007,RM015,Business,Business,Medium,Completed,Approved,5,No,
APP00024,C00024,2025-04-28,B005,RM011,Premium,Individual,Medium,Completed,Approved,2,No,
APP00025,C00025,2025-03-06,B004,RM009,Current,Individual,Medium,Completed,Approved,2,No,
APP00026,C00026,2025-09-07,B001,RM003,Savings,Individual,Low,Completed,Approved,10,No,
APP00027,C00027,2025-09-13,B003,RM007,Premium,Individual,Low,Completed,Pending,6,No,
APP00028,C00028,2025-05-20,B004,RM009,Savings,Individual,High,Completed,Pending,14,No,
APP00029,C00029,2025-06-24,B005,RM010,Current,Individual,Low,Completed,Approved,4,No,
APP00030,C00030,2025-07-10,B008,RM016,Savings,Individual,Low,Completed,Approved,5,No,
APP00031,C00031,2025-09-19,B002,RM004,Business,Business,High,Completed,Approved,7,Yes,KYC Documentation
APP00032,C00032,2025-10-28,B006,RM012,Premium,Individual,Medium,Completed,Rejected,4,No,
APP00033,C00033,2025-01-11,B009,RM018,Current,Individual,High,Completed,Approved,6,No,
APP00034,C00034,2025-11-09,B002,RM005,Premium,Individual,Low,Pending,Pending,3,No,
APP00035,C00035,2025-11-12,B005,RM010,Savings,Individual,Low,Completed,Approved,9,No,
APP00036,C00036,2025-06-10,B005,RM010,Savings,Individual,Medium,Completed,Pending,17,No,
APP00037,C00037,2025-08-10,B007,RM015,Savings,Individual,Low,Completed,Approved,4,No,
APP00038,C00038,2025-05-23,B010,RM021,Savings,Individual,Medium,Completed,Approved,8,Yes,Risk Assessment
APP00039,C00039,2025-07-30,B001,RM003,Premium,Individual,Medium,Completed,Approved,10,No,
APP00040,C00040,2025-12-03,B007,RM014,Current,Individual,Medium,Completed,Approved,7,No,
APP00041,C00041,2025-03-09,B006,RM013,Premium,Individual,Low,Completed,Approved,3,No,
APP00042,C00042,2025-06-10,B002,RM004,Business,Business,High,Completed,Pending,17,Yes,KYC Documentation
APP00043,C00043,2025-09-14,B006,RM013,Business,Business,High,Completed,Approved,9,No,
APP00044,C00044,2025-08-24,B006,RM013,Business,Business,Medium,Pending,Pending,10,No,
APP00045,C00045,2025-04-08,B009,RM019,Business,Business,Medium,Completed,Approved,10,No,
APP00046,C00046,2025-01-22,B005,RM010,Business,Business,High,Completed,Approved,3,No,
APP00047,C00047,2025-05-26,B002,RM005,Savings,Individual,High,Completed,Approved,2,No,
APP00048,C00048,2025-04-21,B009,RM018,Current,Business,Medium,Completed,Approved,10,No,
APP00049,C00049,2025-10-13,B006,RM012,Savings,Individual,Low,Completed,Approved,8,No,
APP00050,C00050,2025-12-03,B006,RM013,Savings,Individual,Low,Completed,Approved,3,No,
APP00051,C00051,2025-07-28,B003,RM006,Current,Individual,Low,Pending,Pending,16,No,
APP00052,C00052,2025-12-29,B010,RM021,Savings,Individual,Low,Completed,Approved,7,No,
APP00053,C00053,2025-08-04,B003,RM007,Savings,Individual,Medium,Pending,Pending,2,No,
APP00054,C00054,2025-06-29,B004,RM008,Savings,Individual,High,Completed,Approved,8,No,
APP00055,C00055,2025-10-13,B010,RM021,Savings,Individual,High,Completed,Approved,6,Yes,KYC Documentation
APP00056,C00056,2025-01-07,B007,RM015,Current,Individual,Low,Completed,Approved,2,No,
APP00057,C00057,2025-11-23,B009,RM019,Current,Individual,Low,Failed,Rejected,2,No,
APP00058,C00058,2025-12-11,B009,RM018,Savings,Individual,Medium,Completed,Approved,5,No,
APP00059,C00059,2025-08-23,B008,RM016,Savings,Individual,High,Completed,Approved,10,No,
APP00060,C00060,2025-04-25,B009,RM018,Current,Individual,Low,Completed,Approved,10,No,
APP00061,C00061,2025-04-24,B009,RM018,Savings,Individual,Low,Completed,Approved,10,No,
APP00062,C00062,2025-11-03,B007,RM015,Current,Individual,Low,Completed,Approved,6,No,
APP00063,C00063,2025-06-27,B001,RM001,Savings,Individual,Medium,Failed,Rejected,6,No,
APP00064,C00064,2025-10-08,B007,RM014,Current,Individual,High,Completed,Approved,8,No,
APP00065,C00065,2025-09-04,B008,RM017,Savings,Individual,Low,Completed,Approved,18,Yes,KYC Documentation
APP00066,C00066,2025-08-19,B003,RM007,Current,Individual,Medium,Completed,Approved,9,No,
APP00067,C00067,2025-02-21,B008,RM016,Savings,Individual,Low,Completed,Approved,7,No,
APP00068,C00068,2025-12-09,B007,RM014,Savings,Individual,Medium,Completed,Approved,6,No,
APP00069,C00069,2025-05-08,B001,RM003,Savings,Individual,Medium,Pending,Pending,3,No,
APP00070,C00070,2025-09-15,B004,RM009,Current,Individual,High,Completed,Approved,4,No,
APP00071,C00071,2025-01-09,B008,RM016,Savings,Individual,Medium,Completed,Approved,7,No,
APP00072,C00072,2025-08-08,B003,RM007,Premium,Individual,Low,Completed,Approved,9,No,
APP00073,C00073,2025-12-27,B007,RM015,Current,Individual,High,Completed,Approved,5,No,
APP00074,C00074,2025-02-20,B010,RM020,Savings,Individual,Medium,Completed,Approved,4,No,
APP00075,C00075,2025-08-01,B002,RM005,Savings,Individual,Medium,Completed,Approved,4,No,
APP00076,C00076,2025-01-07,B008,RM016,Savings,Individual,High,Pending,Pending,5,No,
APP00077,C00077,2025-05-15,B008,RM016,Current,Individual,High,Completed,Rejected,14,Yes,KYC Documentation
APP00078,C00078,2025-06-22,B002,RM005,Premium,Individual,Medium,Completed,Rejected,4,No,
APP00079,C00079,2025-10-30,B006,RM013,Business,Business,High,Failed,Rejected,6,No,
APP00080,C00080,2025-01-19,B005,RM011,Savings,Individual,Low,Completed,Approved,5,No,
APP00081,C00081,2025-10-18,B007,RM015,Premium,Individual,Low,Completed,Approved,10,No,
APP00082,C00082,2025-09-19,B005,RM010,Savings,Individual,Low,Completed,Approved,5,No,
APP00083,C00083,2025-01-07,B006,RM012,Savings,Individual,Medium,Completed,Approved,10,No,
APP00084,C00084,2025-04-23,B005,RM011,Current,Business,Medium,Completed,Pending,7,Yes,Enhanced Due Diligence
APP00085,C00085,2025-05-30,B004,RM008,Premium,Individual,Medium,Completed,Approved,5,No,
APP00086,C00086,2025-01-10,B004,RM008,Current,Individual,High,Completed,Approved,9,No,
APP00087,C00087,2025-10-18,B001,RM002,Savings,Individual,Low,Completed,Approved,6,No,
APP00088,C00088,2025-07-31,B005,RM010,Savings,Individual,Low,Completed,Approved,5,No,
APP00089,C00089,2025-07-03,B002,RM004,Savings,Individual,Medium,Completed,Approved,4,No,
APP00090,C00090,2025-06-22,B005,RM011,Savings,Individual,Medium,Completed,Approved,2,No,
APP00091,C00091,2025-01-03,B010,RM020,Business,Business,Medium,Completed,Approved,6,No,
APP00092,C00092,2025-01-20,B007,RM015,Savings,Individual,Medium,Completed,Approved,3,No,
APP00093,C00093,2025-04-05,B004,RM008,Premium,Individual,Low,Completed,Approved,2,No,
APP00094,C00094,2025-05-15,B008,RM017,Savings,Individual,Low,Completed,Approved,10,No,
APP00095,C00095,2025-01-07,B008,RM017,Current,Individual,Low,Completed,Approved,10,No,
APP00096,C00096,2025-02-28,B007,RM014,Current,Individual,High,Pending,Pending,7,No,
APP00097,C00097,2025-10-24,B003,RM007,Current,Individual,Low,Completed,Approved,6,No,
APP00098,C00098,2025-09-06,B005,RM010,Savings,Individual,Low,Completed,Approved,11,Yes,Sanctions Screening
APP00099,C00099,2025-08-02,B007,RM015,Savings,Individual,Medium,Completed,Approved,7,No,
APP00100,C00100,2025-10-10,B010,RM021,Premium,Individual,Medium,Completed,Approved,6,No,
APP00101,C00101,2025-03-21,B003,RM006,Current,Business,Medium,Completed,Rejected,7,No,
APP00102,C00102,2025-10-12,B008,RM016,Premium,Individual,Medium,Completed,Approved,5,No,
APP00103,C00103,2025-02-06,B008,RM016,Premium,Individual,Low,Completed,Approved,6,No,
APP00104,C00104,2025-07-07,B005,RM010,Savings,Individual,Low,Completed,Approved,3,No,
APP00105,C00105,2025-09-30,B009,RM018,Current,Individual,Low,Completed,Approved,3,No,
APP00106,C00106,2025-05-15,B004,RM008,Current,Individual,Medium,Completed,Approved,8,No,
APP00107,C00107,2025-01-04,B010,RM020,Savings,Individual,High,Completed,Approved,7,Yes,KYC Documentation
APP00108,C00108,2025-09-14,B002,RM004,Savings,Individual,Low,Completed,Approved,4,No,
APP00109,C00109,2025-06-11,B009,RM019,Business,Business,High,Pending,Pending,13,No,
APP00110,C00110,2025-12-03,B007,RM014,Savings,Individual,Medium,Completed,Approved,9,No,
APP00111,C00111,2025-07-29,B007,RM015,Current,Business,Medium,Completed,Approved,3,No,
APP00112,C00112,2025-01-24,B010,RM021,Business,Business,Medium,Completed,Pending,7,Yes,Enhanced Due Diligence
APP00113,C00113,2025-09-22,B006,RM012,Business,Business,Medium,Completed,Rejected,6,No,
APP00114,C00114,2025-11-21,B004,RM009,Premium,Individual,High,Completed,Rejected,7,Yes,Compliance Review
APP00115,C00115,2025-12-24,B007,RM014,Savings,Individual,Medium,Completed,Approved,9,No,
APP00116,C00116,2025-10-28,B001,RM002,Premium,Business,Medium,Completed,Approved,10,No,
APP00117,C00117,2025-07-04,B009,RM018,Premium,Individual,Low,Completed,Approved,2,No,
APP00118,C00118,2025-07-17,B005,RM011,Savings,Individual,Medium,Completed,Approved,9,No,
APP00119,C00119,2025-09-27,B007,RM015,Premium,Individual,Medium,Completed,Pending,16,Yes,Enhanced Due Diligence
APP00120,C00120,2025-07-19,B005,RM010,Savings,Individual,Low,Completed,Pending,9,No,
APP00121,C00121,2025-08-23,B008,RM016,Current,Individual,High,Completed,Approved,2,No,
APP00122,C00122,2025-08-21,B006,RM012,Current,Individual,Low,Completed,Approved,19,Yes,Enhanced Due Diligence
APP00123,C00123,2025-05-16,B007,RM015,Savings,Individual,Low,Completed,Approved,10,No,
APP00124,C00124,2025-08-19,B008,RM016,Savings,Individual,Medium,Completed,Approved,3,No,
APP00125,C00125,2025-12-29,B008,RM016,Current,Individual,Low,Completed,Rejected,4,No,
APP00126,C00126,2025-02-15,B005,RM011,Current,Business,Medium,Completed,Rejected,2,No,
APP00127,C00127,2025-01-03,B010,RM020,Business,Business,Medium,Completed,Rejected,19,Yes,Enhanced Due Diligence
APP00128,C00128,2025-06-29,B010,RM021,Current,Business,Medium,Completed,Rejected,6,Yes,Sanctions Screening
APP00129,C00129,2025-06-28,B004,RM008,Current,Individual,High,Completed,Approved,2,No,
APP00130,C00130,2025-02-11,B003,RM006,Current,Business,High,Completed,Approved,7,No,
APP00131,C00131,2025-06-01,B006,RM013,Current,Individual,Low,Completed,Approved,8,No,
APP00132,C00132,2025-01-20,B009,RM019,Savings,Individual,Low,Completed,Approved,9,No,
APP00133,C00133,2025-05-29,B005,RM010,Premium,Individual,High,Failed,Rejected,5,No,
APP00134,C00134,2025-08-26,B004,RM009,Premium,Business,Medium,Completed,Approved,10,No,
APP00135,C00135,2025-10-30,B007,RM014,Current,Individual,Low,Completed,Approved,2,No,
APP00136,C00136,2025-11-29,B006,RM012,Current,Individual,Medium,Completed,Approved,2,No,
APP00137,C00137,2025-08-22,B002,RM005,Savings,Individual,Low,Completed,Pending,20,Yes,Enhanced Due Diligence
APP00138,C00138,2025-04-24,B001,RM003,Current,Business,Medium,Completed,Pending,11,No,
APP00139,C00139,2025-04-14,B008,RM017,Premium,Individual,Low,Completed,Approved,3,No,
APP00140,C00140,2025-02-26,B003,RM007,Savings,Individual,Medium,Pending,Pending,3,No,
APP00141,C00141,2025-08-15,B006,RM013,Premium,Individual,Low,Completed,Approved,2,No,
APP00142,C00142,2025-01-19,B006,RM013,Premium,Individual,Low,Completed,Approved,13,Yes,Compliance Review
APP00143,C00143,2025-05-27,B004,RM009,Current,Individual,Low,Completed,Approved,7,No,
APP00144,C00144,2025-10-31,B010,RM020,Savings,Individual,Low,Completed,Approved,10,No,
APP00145,C00145,2025-06-05,B006,RM013,Savings,Individual,Medium,Completed,Rejected,4,No,
APP00146,C00146,2025-07-11,B003,RM006,Premium,Individual,Low,Pending,Pending,8,No,
APP00147,C00147,2025-10-18,B006,RM013,Current,Individual,Low,Failed,Rejected,5,No,
APP00148,C00148,2025-12-15,B008,RM017,Savings,Individual,Low,Completed,Approved,5,No,
APP00149,C00149,2025-01-01,B001,RM001,Savings,Individual,High,Pending,Pending,2,No,
APP00150,C00150,2025-06-09,B001,RM003,Savings,Individual,High,Completed,Approved,8,No,
APP00151,C00151,2025-11-17,B002,RM004,Business,Business,High,Completed,Approved,3,No,
APP00152,C00152,2025-11-11,B006,RM013,Current,Individual,Low,Completed,Approved,9,No,
APP00153,C00153,2025-04-21,B002,RM004,Business,Business,Medium,Failed,Rejected,4,No,
APP00154,C00154,2025-08-07,B007,RM015,Savings,Individual,Medium,Completed,Approved,4,No,
APP00155,C00155,2025-04-11,B005,RM011,Business,Business,Medium,Completed,Approved,10,No,
APP00156,C00156,2025-07-12,B002,RM005,Business,Business,High,Pending,Pending,8,No,
APP00157,C00157,2025-11-15,B009,RM019,Current,Individual,Medium,Completed,Approved,10,No,
APP00158,C00158,2025-08-21,B005,RM011,Premium,Individual,Medium,Completed,Approved,5,No,
APP00159,C00159,2025-05-21,B002,RM004,Savings,Individual,Low,Completed,Approved,9,No,
APP00160,C00160,2025-11-08,B007,RM014,Business,Business,Medium,Completed,Approved,7,No,
APP00161,C00161,2025-07-06,B010,RM020,Current,Business,Medium,Completed,Approved,15,Yes,Compliance Review
APP00162,C00162,2025-08-25,B006,RM013,Business,Business,High,Completed,Approved,17,Yes,Risk Assessment
APP00163,C00163,2025-03-11,B001,RM003,Savings,Individual,Low,Completed,Approved,10,No,
APP00164,C00164,2025-11-10,B006,RM013,Savings,Individual,Low,Completed,Approved,8,No,
APP00165,C00165,2025-06-04,B002,RM005,Current,Individual,Low,Completed,Approved,9,No,
APP00166,C00166,2025-01-08,B009,RM018,Savings,Individual,Low,Completed,Pending,15,No,
APP00167,C00167,2025-07-04,B001,RM002,Savings,Individual,Medium,Completed,Approved,5,No,
APP00168,C00168,2025-05-09,B003,RM007,Savings,Individual,Low,Completed,Approved,3,No,
APP00169,C00169,2025-10-04,B004,RM008,Savings,Individual,Low,Failed,Rejected,5,No,
APP00170,C00170,2025-10-26,B007,RM015,Savings,Individual,Medium,Failed,Rejected,4,No,
APP00171,C00171,2025-06-14,B007,RM014,Savings,Individual,Medium,Completed,Approved,7,No,
APP00172,C00172,2025-01-13,B006,RM012,Current,Individual,Medium,Completed,Rejected,2,No,
APP00173,C00173,2025-01-25,B005,RM010,Savings,Individual,Low,Completed,Approved,3,No,
APP00174,C00174,2025-12-08,B009,RM018,Savings,Individual,Low,Completed,Approved,8,No,
APP00175,C00175,2025-02-07,B003,RM007,Premium,Business,Medium,Completed,Approved,10,No,
APP00176,C00176,2025-05-13,B002,RM005,Savings,Individual,Medium,Completed,Approved,10,No,
APP00177,C00177,2025-02-11,B008,RM017,Current,Business,High,Completed,Pending,6,Yes,Enhanced Due Diligence
APP00178,C00178,2025-12-11,B006,RM012,Premium,Business,Medium,Completed,Approved,5,No,
APP00179,C00179,2025-09-29,B006,RM013,Current,Individual,Medium,Pending,Pending,13,No,
APP00180,C00180,2025-10-21,B002,RM005,Savings,Individual,Low,Completed,Approved,10,No,
APP00181,C00181,2025-07-27,B001,RM001,Premium,Individual,Medium,Completed,Pending,7,No,
APP00182,C00182,2025-02-01,B003,RM006,Business,Business,Medium,Completed,Approved,9,No,
APP00183,C00183,2025-11-18,B003,RM007,Premium,Individual,Low,Completed,Approved,7,No,
APP00184,C00184,2025-06-12,B006,RM012,Savings,Individual,Low,Completed,Approved,3,No,
APP00185,C00185,2025-09-29,B006,RM012,Savings,Individual,Medium,Completed,Approved,5,No,
APP00186,C00186,2025-02-11,B010,RM020,Savings,Individual,Medium,Completed,Approved,3,No,
APP00187,C00187,2025-09-04,B007,RM014,Savings,Individual,Medium,Completed,Approved,5,No,
APP00188,C00188,2025-01-15,B003,RM007,Current,Individual,Low,Completed,Approved,8,No,
APP00189,C00189,2025-11-08,B007,RM014,Savings,Individual,Medium,Completed,Approved,3,No,
APP00190,C00190,2025-07-31,B004,RM008,Savings,Individual,Medium,Pending,Pending,14,No,
APP00191,C00191,2025-05-21,B009,RM018,Current,Business,Medium,Completed,Approved,3,No,
APP00192,C00192,2025-10-20,B010,RM020,Current,Business,Medium,Completed,Rejected,3,No,
APP00193,C00193,2025-10-01,B006,RM012,Current,Individual,Low,Completed,Approved,9,No,
APP00194,C00194,2025-02-22,B008,RM016,Savings,Individual,Low,Completed,Approved,6,No,
APP00195,C00195,2025-11-06,B009,RM019,Current,Individual,Medium,Pending,Pending,19,No,
APP00196,C00196,2025-06-14,B008,RM017,Savings,Individual,Low,Completed,Approved,4,No,
APP00197,C00197,2025-11-11,B003,RM007,Premium,Individual,Low,Completed,Approved,10,No,
APP00198,C00198,2025-05-23,B008,RM017,Savings,Individual,Medium,Completed,Pending,18,No,
APP00199,C00199,2025-12-27,B002,RM004,Business,Business,Medium,Completed,Approved,3,No,
APP00200,C00200,2025-02-08,B005,RM010,Current,Individual,Low,Completed,Approved,8,No,
APP00201,C00201,2025-05-12,B002,RM004,Savings,Individual,Low,Completed,Approved,10,No,
APP00202,C00202,2025-09-13,B005,RM011,Savings,Individual,Low,Completed,Approved,7,No,
APP00203,C00203,2025-11-01,B002,RM005,Current,Individual,Low,Completed,Approved,8,No,
APP00204,C00204,2025-12-24,B007,RM014,Savings,Individual,Low,Pending,Pending,16,No,
APP00205,C00205,2025-09-29,B006,RM012,Current,Individual,Low,Completed,Approved,7,No,
APP00206,C00206,2025-10-23,B008,RM017,Business,Business,Medium,Completed,Approved,6,No,
APP00207,C00207,2025-07-19,B004,RM008,Savings,Individual,Low,Pending,Pending,15,No,
APP00208,C00208,2025-03-28,B006,RM013,Savings,Individual,Low,Completed,Approved,8,No,
APP00209,C00209,2025-07-22,B002,RM004,Current,Individual,Medium,Completed,Approved,10,No,
APP00210,C00210,2025-06-02,B001,RM001,Savings,Individual,Low,Completed,Approved,7,No,
APP00211,C00211,2025-06-26,B004,RM008,Business,Business,Medium,Completed,Pending,19,No,
APP00212,C00212,2025-04-27,B006,RM012,Savings,Individual,Low,Completed,Approved,5,No,
APP00213,C00213,2025-11-05,B008,RM016,Business,Business,Medium,Completed,Approved,7,No,
APP00214,C00214,2025-06-27,B010,RM021,Current,Business,Medium,Completed,Approved,6,No,
APP00215,C00215,2025-08-20,B010,RM020,Current,Individual,Low,Completed,Approved,5,No,
APP00216,C00216,2025-07-20,B006,RM013,Savings,Individual,Medium,Failed,Rejected,5,No,
APP00217,C00217,2025-01-07,B007,RM014,Premium,Business,Medium,Completed,Approved,7,No,
APP00218,C00218,2025-07-21,B008,RM017,Savings,Individual,Medium,Failed,Rejected,5,No,
APP00219,C00219,2025-08-09,B001,RM002,Savings,Individual,High,Completed,Rejected,14,Yes,Compliance Review
APP00220,C00220,2025-03-24,B003,RM006,Savings,Individual,Low,Completed,Approved,6,Yes,Enhanced Due Diligence
APP00221,C00221,2025-07-05,B003,RM007,Premium,Individual,Low,Completed,Approved,10,No,
APP00222,C00222,2025-12-25,B010,RM021,Current,Individual,Low,Completed,Approved,10,No,
APP00223,C00223,2025-03-13,B008,RM017,Premium,Individual,Low,Completed,Approved,4,No,
APP00224,C00224,2025-02-26,B009,RM018,Current,Business,High,Completed,Approved,10,No,
APP00225,C00225,2025-04-14,B002,RM004,Current,Individual,Medium,Completed,Approved,8,No,
APP00226,C00226,2025-06-30,B008,RM017,Savings,Individual,Medium,Completed,Approved,4,No,
APP00227,C00227,2025-01-02,B008,RM017,Savings,Individual,Low,Completed,Approved,5,Yes,Sanctions Screening
APP00228,C00228,2025-10-09,B002,RM005,Savings,Individual,Low,Completed,Approved,3,No,
APP00229,C00229,2025-08-12,B003,RM006,Current,Individual,Low,Completed,Approved,8,No,
APP00230,C00230,2025-04-18,B003,RM007,Savings,Individual,Low,Completed,Approved,7,No,
APP00231,C00231,2025-06-30,B005,RM011,Current,Business,High,Completed,Approved,7,No,
APP00232,C00232,2025-02-11,B003,RM006,Current,Individual,Low,Completed,Approved,10,No,
APP00233,C00233,2025-05-12,B006,RM013,Current,Business,High,Completed,Pending,11,Yes,Compliance Review
APP00234,C00234,2025-12-20,B005,RM010,Premium,Individual,Medium,Completed,Approved,9,No,
APP00235,C00235,2025-03-10,B005,RM010,Savings,Individual,Medium,Completed,Approved,10,No,
APP00236,C00236,2025-04-29,B001,RM002,Business,Business,Medium,Completed,Approved,4,No,
APP00237,C00237,2025-11-24,B006,RM013,Current,Individual,Low,Completed,Approved,5,No,
APP00238,C00238,2025-10-22,B009,RM019,Business,Business,Medium,Completed,Approved,10,No,
APP00239,C00239,2025-01-16,B005,RM010,Savings,Individual,Low,Pending,Pending,4,No,
APP00240,C00240,2025-08-01,B006,RM013,Current,Business,High,Completed,Approved,18,Yes,KYC Documentation
APP00241,C00241,2025-11-10,B001,RM001,Savings,Individual,Medium,Completed,Approved,6,No,
APP00242,C00242,2025-01-05,B001,RM002,Business,Business,Medium,Completed,Approved,6,No,
APP00243,C00243,2025-05-10,B002,RM004,Savings,Individual,Low,Completed,Approved,17,Yes,Enhanced Due Diligence
APP00244,C00244,2025-05-16,B010,RM021,Savings,Individual,Medium,Completed,Approved,14,Yes,Risk Assessment
APP00245,C00245,2025-05-29,B005,RM011,Savings,Individual,Medium,Completed,Approved,7,No,
APP00246,C00246,2025-12-02,B006,RM013,Savings,Individual,Medium,Completed,Approved,8,No,
APP00247,C00247,2025-12-21,B001,RM003,Current,Business,Medium,Completed,Approved,8,Yes,Enhanced Due Diligence
APP00248,C00248,2025-03-02,B009,RM019,Savings,Individual,Low,Completed,Approved,8,No,
APP00249,C00249,2025-11-12,B005,RM011,Premium,Individual,Medium,Completed,Approved,5,No,
APP00250,C00250,2025-03-04,B001,RM003,Current,Individual,Low,Completed,Approved,4,No,
APP00251,C00251,2025-12-24,B001,RM002,Savings,Individual,High,Completed,Approved,6,Yes,Risk Assessment
APP00252,C00252,2025-06-16,B010,RM021,Current,Individual,Medium,Completed,Rejected,7,No,
APP00253,C00253,2025-08-16,B001,RM003,Savings,Individual,Medium,Completed,Pending,6,No,
APP00254,C00254,2025-12-25,B007,RM014,Business,Business,Medium,Pending,Pending,10,No,
APP00255,C00255,2025-09-12,B001,RM003,Premium,Individual,Medium,Failed,Rejected,3,No,
APP00256,C00256,2025-06-24,B003,RM007,Savings,Individual,Low,Completed,Approved,2,No,
APP00257,C00257,2025-02-24,B005,RM011,Current,Business,High,Completed,Pending,15,No,
APP00258,C00258,2025-06-13,B005,RM010,Savings,Individual,High,Completed,Approved,9,No,
APP00259,C00259,2025-12-27,B005,RM010,Savings,Individual,Medium,Completed,Approved,5,No,
APP00260,C00260,2025-02-12,B003,RM006,Current,Individual,High,Failed,Rejected,4,No,
APP00261,C00261,2025-09-30,B004,RM008,Current,Individual,Low,Completed,Approved,7,No,
APP00262,C00262,2025-10-01,B010,RM020,Current,Business,Medium,Pending,Pending,17,No,
APP00263,C00263,2025-01-04,B002,RM004,Savings,Individual,Low,Completed,Approved,10,No,
APP00264,C00264,2025-08-10,B003,RM006,Savings,Individual,Low,Completed,Approved,4,No,
APP00265,C00265,2025-04-02,B005,RM010,Current,Individual,Medium,Completed,Approved,7,No,
APP00266,C00266,2025-12-21,B001,RM002,Current,Individual,Low,Completed,Approved,4,No,
APP00267,C00267,2025-01-24,B008,RM017,Premium,Individual,Low,Completed,Approved,9,No,
APP00268,C00268,2025-06-14,B005,RM011,Business,Business,Medium,Completed,Rejected,2,No,
APP00269,C00269,2025-02-24,B003,RM006,Savings,Individual,Medium,Completed,Rejected,8,No,
APP00270,C00270,2025-10-08,B005,RM011,Savings,Individual,Medium,Completed,Approved,9,No,
APP00271,C00271,2025-07-30,B003,RM007,Current,Individual,Medium,Failed,Rejected,5,No,
APP00272,C00272,2025-05-09,B002,RM004,Business,Business,Medium,Completed,Approved,8,No,
APP00273,C00273,2025-01-01,B008,RM017,Business,Business,Medium,Completed,Approved,10,No,
APP00274,C00274,2025-10-20,B004,RM009,Savings,Individual,Medium,Completed,Approved,3,No,
APP00275,C00275,2025-06-28,B005,RM011,Current,Individual,Medium,Completed,Approved,5,No,
APP00276,C00276,2025-04-14,B003,RM006,Savings,Individual,Low,Completed,Approved,2,No,
APP00277,C00277,2025-01-04,B004,RM008,Premium,Individual,Medium,Pending,Pending,7,No,
APP00278,C00278,2025-05-20,B006,RM012,Savings,Individual,Low,Completed,Approved,10,No,
APP00279,C00279,2025-11-22,B010,RM020,Business,Business,Medium,Completed,Approved,5,No,
APP00280,C00280,2025-01-04,B010,RM021,Savings,Individual,Low,Completed,Approved,3,No,
APP00281,C00281,2025-03-01,B008,RM016,Savings,Individual,Low,Completed,Approved,9,No,
APP00282,C00282,2025-10-23,B001,RM001,Current,Individual,Low,Pending,Pending,20,No,
APP00283,C00283,2025-03-06,B001,RM001,Current,Individual,Low,Completed,Approved,8,No,
APP00284,C00284,2025-01-25,B007,RM015,Business,Business,High,Pending,Pending,8,No,
APP00285,C00285,2025-04-19,B009,RM019,Business,Business,High,Completed,Approved,10,No,
APP00286,C00286,2025-12-13,B004,RM008,Savings,Individual,Low,Completed,Approved,10,No,
APP00287,C00287,2025-11-11,B004,RM009,Savings,Individual,Low,Completed,Approved,6,No,
APP00288,C00288,2025-05-01,B010,RM021,Savings,Individual,Medium,Failed,Rejected,5,No,
APP00289,C00289,2025-07-22,B001,RM003,Savings,Individual,Low,Completed,Approved,2,No,
