Customer_ID,Customer_Type,Age,Annual_Income,Account_Type,Risk_Level,Branch_ID,RM_ID
C00201,Individual,26.0,110743,Savings,Low,B002,RM004
C00202,Individual,71.0,37951,Savings,Low,B005,RM011
C00203,Individual,21.0,38937,Current,Low,B002,RM005
C00204,Individual,19.0,77686,Savings,Low,B007,RM014
C00205,Individual,33.0,52275,Current,Low,B006,RM012
C00206,Business,,233070,Business,Medium,B008,RM017
C00207,Individual,41.0,41064,Savings,Low,B004,RM008
C00208,Individual,24.0,101791,Savings,Low,B006,RM013
C00209,Individual,67.0,71361,Current,Medium,B002,RM004
C00210,Individual,47.0,24605,Savings,Low,B001,RM001
C00211,Business,,242352,Business,Medium,B004,RM008
C00212,Individual,67.0,39487,Savings,Low,B006,RM012
C00213,Business,,705426,Business,Medium,B008,RM016
C00214,Business,,121656,Current,Medium,B010,RM021
C00215,Individual,38.0,28745,Current,Low,B010,RM020
C00216,Individual,62.0,69303,Savings,Medium,B006,RM013
C00217,Business,,91870,Premium,Medium,B007,RM014
C00218,Individual,65.0,42040,Savings,Medium,B008,RM017
C00219,Individual,33.0,104007,Savings,High,B001,RM002
C00220,Individual,46.0,104380,Savings,Low,B003,RM006
C00221,Individual,38.0,56358,Premium,Low,B003,RM007
C00222,Individual,53.0,26529,Current,Low,B010,RM021
C00223,Individual,49.0,22447,Premium,Low,B008,RM017
C00224,Business,,2340448,Current,High,B009,RM018
C00225,Individual,37.0,91409,Current,Medium,B002,RM004
C00226,Individual,33.0,81722,Savings,Medium,B008,RM017
C00227,Individual,74.0,28134,Savings,Low,B008,RM017
C00228,Individual,44.0,84833,Savings,Low,B002,RM005
C00229,Individual,51.0,76130,Current,Low,B003,RM006
C00230,Individual,73.0,22068,Savings,Low,B003,RM007
C00231,Business,,74006,Current,High,B005,RM011
C00232,Individual,53.0,59845,Current,Low,B003,RM006
C00233,Business,,83170,Current,High,B006,RM013
C00234,Individual,73.0,19489,Premium,Medium,B005,RM010
C00235,Individual,54.0,41984,Savings,Medium,B005,RM010
C00236,Business,,279566,Business,Medium,B001,RM002
C00237,Individual,48.0,62294,Current,Low,B006,RM013
C00238,Business,,204521,Business,Medium,B009,RM019
C00239,Individual,47.0,32732,Savings,Low,B005,RM010
C00240,Business,,141864,Current,High,B006,RM013
C00241,Individual,49.0,150593,Savings,Medium,B001,RM001
C00242,Business,,163105,Business,Medium,B001,RM002
C00243,Individual,74.0,110840,Savings,Low,B002,RM004
C00244,Individual,34.0,106427,Savings,Medium,B010,RM021
C00245,Individual,53.0,65319,Savings,Medium,B005,RM011
C00246,Individual,25.0,21168,Savings,Medium,B006,RM013
C00247,Business,,508727,Current,Medium,B001,RM003
C00248,Individual,63.0,71047,Savings,Low,B009,RM019
C00249,Individual,57.0,65752,Premium,Medium,B005,RM011
C00250,Individual,71.0,72102,Current,Low,B001,RM003
C00251,Individual,25.0,158253,Savings,High,B001,RM002
C00252,Individual,59.0,117910,Current,Medium,B010,RM021
C00253,Individual,58.0,104916,Savings,Medium,B001,RM003
C00254,Business,,41241,Business,Medium,B007,RM014
C00255,Individual,50.0,110907,Premium,Medium,B001,RM003
C00256,Individual,31.0,71350,Savings,Low,B003,RM007
C00257,Business,,192874,Current,High,B005,RM011
C00258,Individual,33.0,59562,Savings,High,B005,RM010
C00259,Individual,62.0,100777,Savings,Medium,B005,RM010
C00260,Individual,61.0,65856,Current,High,B003,RM006
C00261,Individual,63.0,32495,Current,Low,B004,RM008
C00262,Business,,76832,Current,Medium,B010,RM020
C00263,Individual,33.0,35401,Savings,Low,B002,RM004
C00264,Individual,48.0,22504,Savings,Low,B003,RM006
C00265,Individual,74.0,111290,Current,Medium,B005,RM010
C00266,Individual,21.0,85862,Current,Low,B001,RM002
C00267,Individual,71.0,19190,Premium,Low,B008,RM017
C00268,Business,,4884092,Business,Medium,B005,RM011
C00269,Individual,39.0,75605,Savings,Medium,B003,RM006
C00270,Individual,30.0,101671,Savings,Medium,B005,RM011
C00271,Individual,65.0,59334,Current,Medium,B003,RM007
C00272,Business,,748479,Business,Medium,B002,RM004
C00273,Business,,165024,Business,Medium,B008,RM017
C00274,Individual,39.0,77544,Savings,Medium,B004,RM009
C00275,Individual,47.0,66569,Current,Medium,B005,RM011
C00276,Individual,36.0,54473,Savings,Low,B003,RM006
C00277,Individual,56.0,75994,Premium,Medium,B004,RM008
C00278,Individual,66.0,45365,Savings,Low,B006,RM012
C00279,Business,,94314,Business,Medium,B010,RM020
C00280,Individual,38.0,108956,Savings,Low,B010,RM021
C00281,Individual,50.0,43646,Savings,Low,B008,RM016
C00282,Individual,47.0,60196,Current,Low,B001,RM001
C00283,Individual,22.0,29289,Current,Low,B001,RM001
C00284,Business,,175259,Business,High,B007,RM015
C00285,Business,,198958,Business,High,B009,RM019
C00286,Individual,40.0,35604,Savings,Low,B004,RM008
C00287,Individual,37.0,75680,Savings,Low,B004,RM009
C00288,Individual,27.0,47395,Savings,Medium,B010,RM021
C00289,Individual,22.0,19100,Savings,Low,B001,RM003
C00290,Individual,43.0,75373,Savings,Medium,B001,RM003
C00291,Individual,36.0,36877,Savings,Low,B006,RM012
C00292,Individual,27.0,154160,Savings,Medium,B001,RM002
C00293,Business,,483640,Current,Medium,B008,RM017
C00294,Business,,3815814,Business,Medium,B007,RM015
C00295,Individual,42.0,35626,Savings,Medium,B005,RM011
C00296,Individual,47.0,116856,Savings,Medium,B009,RM018
C00297,Individual,34.0,39191,Savings,Low,B006,RM013
C00298,Individual,71.0,26796,Savings,Low,B001,RM002
C00299,Individual,66.0,76624,Savings,Low,B006,RM012
C00300,Business,,52453,Premium,Medium,B008,RM016
C00301,Individual,63.0,25842,Current,Medium,B007,RM014
C00302,Individual,40.0,63569,Savings,Low,B002,RM004
C00303,Individual,71.0,53312,Savings,Low,B010,RM021
C00304,Individual,19.0,78275,Current,Low,B003,RM006
C00305,Individual,42.0,56104,Savings,Medium,B006,RM012
C00306,Individual,49.0,162054,Current,Medium,B006,RM013
C00307,Individual,52.0,75529,Premium,High,B009,RM019
C00308,Business,,93608,Current,High,B007,RM014
C00309,Business,,86345,Business,Medium,B008,RM017
C00310,Individual,58.0,71667,Current,Low,B009,RM019
C00311,Individual,19.0,58005,Savings,Low,B009,RM019
C00312,Individual,69.0,91748,Savings,Low,B003,RM007
C00313,Individual,51.0,63228,Savings,Low,B006,RM013
C00314,Individual,33.0,134801,Savings,High,B002,RM005
C00315,Business,,108305,Business,Medium,B009,RM019
C00316,Individual,18.0,85418,Savings,Medium,B006,RM012
C00317,Business,,4753026,Business,Medium,B004,RM009
C00318,Business,,112205,Premium,High,B005,RM010
C00319,Individual,20.0,28305,Savings,Low,B003,RM007
C00320,Business,,380674,Business,Medium,B010,RM021
C00321,Individual,52.0,49171,Current,Medium,B002,RM004
C00322,Individual,40.0,32322,Savings,Low,B010,RM020
C00323,Business,,185557,Business,Medium,B008,RM016
C00324,Individual,53.0,108301,Savings,Medium,B007,RM014
C00325,Individual,36.0,84817,Savings,Low,B003,RM006
C00326,Individual,41.0,18170,Premium,Low,B005,RM011
C00327,Individual,29.0,76502,Current,Low,B001,RM001
C00328,Individual,23.0,61261,Premium,Low,B007,RM015
C00329,Individual,64.0,95908,Current,Low,B007,RM015
C00330,Individual,37.0,49563,Savings,Low,B007,RM014
C00331,Individual,22.0,56160,Current,Low,B010,RM021
C00332,Individual,26.0,65932,Savings,Medium,B006,RM012
C00333,Individual,70.0,118954,Savings,Low,B004,RM009
C00334,Individual,43.0,139100,Current,Medium,B010,RM020
C00335,Individual,35.0,105751,Savings,High,B004,RM009
C00336,Business,,90306,Business,High,B008,RM016
C00337,Individual,69.0,44532,Current,Medium,B007,RM014
C00338,Individual,58.0,56559,Current,Medium,B007,RM014
C00339,Individual,56.0,66267,Savings,Medium,B007,RM014
C00340,Individual,41.0,115186,Current,High,B002,RM005
C00341,Individual,40.0,38076,Savings,High,B007,RM014
C00342,Individual,68.0,40691,Savings,Low,B009,RM018
C00343,Individual,54.0,30259,Savings,Medium,B010,RM020
C00344,Individual,40.0,151638,Savings,Medium,B002,RM005
C00345,Business,,665249,Business,Medium,B004,RM008
C00346,Individual,48.0,32825,Savings,Low,B002,RM005
C00347,Business,,277508,Current,High,B004,RM008
C00348,Individual,28.0,67942,Premium,Low,B007,RM014
C00349,Individual,58.0,65924,Savings,Medium,B004,RM008
C00350,Individual,42.0,25038,Savings,Medium,B002,RM004
C00351,Individual,73.0,63972,Savings,Low,B005,RM010
C00352,Business,,267538,Business,Medium,B007,RM014
C00353,Individual,40.0,91306,Current,Medium,B005,RM011
C00354,Individual,61.0,21862,Savings,Low,B006,RM013
C00355,Individual,42.0,49035,Current,Low,B008,RM016
C00356,Individual,59.0,91353,Current,Medium,B003,RM007
C00357,Individual,46.0,63529,Premium,Low,B004,RM008
C00358,Business,,229753,Business,Medium,B008,RM017
C00359,Individual,54.0,25226,Savings,Low,B009,RM019
C00360,Individual,47.0,72460,Savings,Low,B002,RM004
C00361,Individual,70.0,155523,Current,Low,B008,RM016
C00362,Individual,45.0,39419,Current,Low,B001,RM001
C00363,Individual,73.0,108774,Premium,Low,B004,RM008
C00364,Business,,191915,Current,Medium,B007,RM015
C00365,Individual,68.0,24781,Current,Low,B009,RM019
C00366,Individual,28.0,59178,Savings,Low,B009,RM019
C00367,Business,,89158,Current,High,B005,RM010
C00368,Individual,73.0,22792,Current,Medium,B007,RM014
C00369,Individual,58.0,67146,Savings,Low,B002,RM005
C00370,Individual,35.0,64187,Savings,Low,B010,RM020
C00371,Business,,397666,Current,Medium,B006,RM013
C00372,Individual,43.0,32078,Current,Low,B006,RM013
C00373,Individual,54.0,33903,Current,Medium,B001,RM003
C00374,Individual,68.0,81067,Savings,High,B008,RM016
C00375,Individual,45.0,22322,Premium,Low,B005,RM010
C00376,Individual,34.0,39774,Premium,Low,B007,RM015
C00377,Individual,62.0,108130,Current,Medium,B001,RM002
C00378,Individual,26.0,74042,Current,Low,B006,RM013
C00379,Business,,134648,Business,Medium,B002,RM005
C00380,Business,,64088,Current,Medium,B003,RM007
C00381,Business,,74767,Business,Medium,B003,RM007
C00382,Individual,31.0,49920,Premium,Medium,B008,RM017
C00383,Individual,24.0,22035,Current,Low,B007,RM015
C00384,Individual,33.0,45521,Savings,Medium,B010,RM021
C00385,Individual,62.0,39574,Premium,Low,B010,RM020
C00386,Individual,43.0,43576,Current,Medium,B004,RM009
C00387,Individual,33.0,78923,Savings,Medium,B001,RM001
C00388,Business,,96414,Current,Medium,B009,RM018
C00389,Individual,48.0,170486,Savings,Medium,B001,RM003
C00390,Individual,21.0,106081,Savings,Medium,B009,RM019
C00391,Individual,43.0,35582,Savings,Low,B002,RM004
C00392,Individual,31.0,130182,Savings,Medium,B002,RM005
C00393,Individual,64.0,135639,Savings,Low,B007,RM014
C00394,Individual,56.0,39826,Current,Low,B002,RM005
C00395,Individual,62.0,34266,Premium,Low,B005,RM011
C00396,Individual,65.0,97613,Current,Low,B001,RM002
C00397,Business,,44185,Business,High,B002,RM004
C00398,Individual,41.0,36575,Savings,Low,B002,RM004
C00399,Individual,25.0,34673,Savings,Medium,B001,RM001
C00400,Individual,41.0,49835,Savings,High,B001,RM003
C00401,Business,,987554,Business,Medium,B007,RM015
C00402,Individual,70.0,30216,Savings,Low,B001,RM002
C00403,Individual,51.0,146275,Savings,Medium,B005,RM011
C00404,Individual,53.0,64177,Savings,Medium,B005,RM010
C00405,Individual,47.0,72332,Premium,Medium,B009,RM019
C00406,Individual,27.0,31436,Savings,Low,B001,RM001
C00407,Individual,60.0,60153,Savings,Low,B004,RM009
C00408,Individual,21.0,129330,Current,Low,B004,RM008
C00409,Individual,75.0,45564,Current,Low,B007,RM014
C00410,Individual,21.0,48566,Savings,Low,B006,RM012
C00411,Individual,65.0,69671,Savings,Low,B004,RM009
C00412,Individual,55.0,21462,Savings,Low,B007,RM015
C00413,Individual,67.0,28102,Savings,Medium,B002,RM005
C00414,Business,,284734,Current,Medium,B006,RM012
C00415,Individual,33.0,145968,Savings,Medium,B005,RM011
C00416,Individual,43.0,116434,Current,Low,B008,RM017
C00417,Business,,40783,Business,High,B004,RM009
C00418,Individual,43.0,45507,Current,Low,B002,RM004
C00419,Business,,82335,Business,Medium,B006,RM013
C00420,Individual,47.0,36805,Savings,Low,B008,RM016
C00421,Individual,45.0,25035,Premium,Low,B008,RM017
C00422,Individual,57.0,59340,Savings,Medium,B008,RM016
C00423,Individual,42.0,24535,Current,Medium,B004,RM008
C00424,Business,,105119,Premium,High,B006,RM012
C00425,Individual,49.0,77070,Savings,Low,B003,RM007
C00426,Individual,32.0,27205,Savings,High,B009,RM019
C00427,Individual,32.0,126562,Savings,Low,B009,RM018
C00428,Individual,32.0,65455,Savings,Medium,B003,RM007
C00429,Individual,38.0,103513,Premium,Low,B006,RM013
C00430,Individual,54.0,112258,Savings,Low,B001,RM003
C00431,Individual,56.0,35250,Savings,Low,B010,RM020
C00432,Business,,146520,Premium,High,B006,RM013
C00433,Individual,55.0,89283,Current,Medium,B006,RM012
C00434,Individual,60.0,46621,Savings,Low,B003,RM006
C00435,Business,,810866,Current,Medium,B009,RM019
C00436,Business,,193539,Business,Medium,B003,RM007
C00437,Individual,62.0,51646,Current,High,B010,RM021
C00438,Business,,895048,Business,Medium,B010,RM021
C00439,Individual,24.0,89217,Savings,Low,B006,RM013
C00440,Individual,74.0,173848,Current,Medium,B006,RM013
C00441,Individual,31.0,20221,Savings,Medium,B001,RM002
C00442,Individual,64.0,50901,Premium,Low,B007,RM015
C00443,Individual,24.0,117883,Current,Medium,B003,RM007
C00444,Individual,72.0,18657,Savings,Medium,B002,RM004
C00445,Individual,42.0,20457,Savings,Medium,B002,RM004
C00446,Individual,57.0,82031,Savings,Medium,B010,RM020
C00447,Individual,24.0,52450,Savings,Medium,B009,RM018
C00448,Individual,37.0,19626,Savings,Low,B008,RM017
C00449,Individual,18.0,59303,Current,Medium,B008,RM016
C00450,Individual,31.0,27562,Premium,Low,B002,RM004
C00451,Individual,48.0,57367,Savings,Low,B003,RM007
C00452,Business,,216857,Business,Medium,B005,RM011
C00453,Business,,139617,Current,High,B002,RM005
C00454,Individual,52.0,78648,Savings,Low,B007,RM014
C00455,Individual,52.0,71118,Current,Low,B005,RM010
C00456,Individual,72.0,112905,Current,Medium,B010,RM020
C00457,Business,,89623,Business,High,B003,RM007
C00458,Business,,67746,Business,High,B004,RM009
C00459,Individual,56.0,44391,Savings,Medium,B009,RM018
C00460,Business,,103241,Current,Medium,B009,RM018
C00461,Individual,27.0,37265,Current,Medium,B002,RM005
C00462,Individual,24.0,115103,Premium,High,B005,RM010
C00463,Individual,54.0,42455,Savings,Low,B010,RM020
C00464,Individual,43.0,28862,Current,Low,B008,RM017
C00465,Business,,93568,Current,Medium,B008,RM016
C00466,Individual,73.0,27846,Premium,Low,B006,RM013
C00467,Individual,56.0,52316,Savings,Medium,B007,RM014
C00468,Individual,51.0,83683,Savings,Low,B005,RM010
C00469,Individual,26.0,114359,Premium,Low,B004,RM008
C00470,Business,,69913,Business,Medium,B004,RM008
C00471,Individual,47.0,48118,Current,Low,B008,RM016
C00472,Individual,73.0,76132,Savings,Low,B005,RM011
C00473,Business,,41798,Business,Medium,B010,RM020
C00474,Business,,277653,Business,High,B009,RM018
C00475,Business,,3861353,Business,High,B003,RM006
C00476,Business,,79868,Current,Medium,B005,RM011
C00477,Business,,781294,Business,Medium,B009,RM018
C00478,Individual,24.0,39704,Premium,Medium,B009,RM019
C00479,Individual,36.0,47084,Savings,Low,B005,RM011
C00480,Individual,35.0,59581,Savings,Low,B004,RM009
C00481,Business,,929180,Business,Medium,B003,RM006
C00482,Individual,49.0,137001,Premium,Medium,B001,RM003
C00483,Individual,54.0,102489,Current,Low,B009,RM018
C00484,Individual,60.0,59673,Current,Medium,B009,RM018
C00485,Individual,48.0,26475,Current,Low,B003,RM006
C00486,Business,,158262,Business,High,B005,RM010
C00487,Individual,39.0,78375,Savings,Medium,B008,RM016
C00488,Business,,262700,Business,High,B009,RM018
C00489,Business,,178212,Business,High,B003,RM006
C00490,Business,,249265,Current,High,B003,RM006
C00491,Business,,45296,Business,Medium,B003,RM007
C00492,Individual,18.0,53722,Current,Low,B003,RM006
C00493,Individual,67.0,38135,Savings,Low,B007,RM015
C00494,Individual,20.0,64451,Premium,Medium,B009,RM019
C00495,Individual,18.0,56306,Savings,Medium,B005,RM010
C00496,Individual,50.0,50945,Savings,Low,B005,RM011
C00497,Individual,56.0,68420,Premium,High,B006,RM013
